label,region,R,G,B,A
148,Periosteum,0.54296875,0.47265625,0.3671875,1
149,Endosteum,0.875,0.875,0.875,1
150,R-C-S,0.99609375,0.0,0.0,1
151,Iris,0.80078125,0.80078125,0.0,1
152,SC-Adipose-Muscle,0.9296875,0.9296875,0.81640625,1
153,SC-Tissue,0.54296875,0.47265625,0.3671875,1
154,Orbital-Adipose,0.9296875,0.23046875,0.23046875,1
155,Left-IntCapsule-Ant,0.9296875,0.23046875,0.23046875,1
156,Right-IntCapsule-Ant,0.9296875,0.23046875,0.23046875,1
157,Left-IntCapsule-Pos,0.2421875,0.0390625,0.80078125,1
158,Right-IntCapsule-Pos,0.2421875,0.0390625,0.80078125,1
159,Left-Cerebral-WM-unmyelinated,0.0,0.4609375,0.0546875,1
160,Right-Cerebral-WM-unmyelinated,0.0,0.4609375,0.0546875,1
161,Left-Cerebral-WM-myelinated,0.859375,0.84375,0.08203125,1
162,Right-Cerebral-WM-myelinated,0.859375,0.84375,0.08203125,1
163,Left-Subcortical-Gray-Matter,0.4765625,0.7265625,0.859375,1
164,Right-Subcortical-Gray-Matter,0.4765625,0.7265625,0.859375,1
165,Skull,0.46875,0.46875,0.46875,1
166,Posterior-fossa,0.0546875,0.1875,0.99609375,1
167,Scalp,0.6484375,0.1640625,0.1640625,1
168,Hematoma,0.47265625,0.0703125,0.5234375,1
169,Left-Basal-Ganglia,0.921875,0.05078125,0.49609375,1
176,Right-Basal-Ganglia,0.921875,0.05078125,0.4921875,1
170,brainstem,0.46484375,0.62109375,0.6875,1
171,DCG,0.46484375,0.0,0.6875,1
172,Vermis,0.46484375,0.390625,0.6875,1
173,Midbrain,0.9453125,0.40625,0.296875,1
174,Pons,0.8046875,0.76171875,0.2265625,1
175,Medulla,0.46484375,0.62109375,0.6875,1
177,Vermis-White-Matter,0.46484375,0.1953125,0.6875,1
178,SCP,0.5546875,0.7109375,0.0,1
179,Floculus,0.07421875,0.390625,0.6875,1
180,Left-Cortical-Dysplasia,0.28515625,0.23828125,0.54296875,1
181,Right-Cortical-Dysplasia,0.28515625,0.2421875,0.54296875,1
182,CblumNodulus,0.0390625,0.390625,0.6875,1
193,Left-hippocampal_fissure,0.0,0.765625,0.99609375,1
194,Left-CADG-head,0.99609375,0.640625,0.640625,1
195,Left-subiculum,0.765625,0.765625,0.0,1
196,Left-fimbria,0.0,0.390625,0.99609375,1
197,Right-hippocampal_fissure,0.5,0.765625,0.640625,1
198,Right-CADG-head,0.0,0.4921875,0.29296875,1
199,Right-subiculum,0.5,0.375,0.25,1
200,Right-fimbria,0.0,0.1953125,0.5,1
201,alveus,0.99609375,0.796875,0.59765625,1
202,perforant_pathway,0.99609375,0.5,0.5,1
203,parasubiculum,0.68359375,0.68359375,0.29296875,1
204,presubiculum,0.25,0.0,0.25,1
205,subiculum,0.0,0.0,0.99609375,1
206,CA1,0.99609375,0.0,0.0,1
207,CA2,0.5,0.5,0.99609375,1
208,CA3,0.0,0.5,0.0,1
209,CA4,0.765625,0.625,0.5,1
210,GC-DG,0.125,0.78125,0.99609375,1
211,HATA,0.5,0.99609375,0.5,1
212,fimbria,0.796875,0.59765625,0.796875,1
213,lateral_ventricle,0.47265625,0.06640625,0.53125,1
